@relation 'dset1,Mapped'

@attribute 0 {0.0,10.0,12.0,13.0,15.0,20.0,26.0,66.0}
@attribute 1 {0.0,1.0,10.0,25.0,30.0,32.0,33.0}
@attribute 2 {0.0,1.0,6.0,7.0,11.0,13.0,21.0,32.0,48.0,88.0}

@data
0.0,0.0,0.0
0.0,1.0,1.0
0.0,1.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,6.0
0.0,0.0,7.0
0.0,0.0,0.0
0.0,1.0,6.0
10.0,10.0,0.0
10.0,10.0,11.0
12.0,10.0,0.0
13.0,1.0,13.0
13.0,1.0,11.0
15.0,10.0,13.0
15.0,10.0,1.0
15.0,10.0,11.0
13.0,0.0,0.0
0.0,1.0,7.0
20.0,10.0,13.0
20.0,10.0,21.0
20.0,10.0,11.0
15.0,10.0,1.0
13.0,0.0,21.0
0.0,25.0,1.0
26.0,0.0,1.0
0.0,0.0,21.0
0.0,25.0,1.0
26.0,0.0,11.0
13.0,30.0,13.0
13.0,30.0,11.0
13.0,32.0,32.0
20.0,33.0,13.0
20.0,33.0,11.0
15.0,10.0,13.0
13.0,33.0,7.0
10.0,33.0,11.0
20.0,0.0,1.0
0.0,0.0,13.0
0.0,30.0,6.0
10.0,10.0,1.0
0.0,10.0,7.0
20.0,10.0,1.0
0.0,33.0,11.0
12.0,33.0,7.0
12.0,33.0,7.0
13.0,33.0,13.0
15.0,10.0,48.0
20.0,0.0,0.0
10.0,33.0,7.0
20.0,33.0,1.0
13.0,33.0,13.0
13.0,10.0,21.0
26.0,10.0,11.0
20.0,33.0,21.0
20.0,30.0,13.0
0.0,33.0,13.0
20.0,33.0,6.0
20.0,33.0,11.0
20.0,30.0,0.0
20.0,0.0,1.0
20.0,0.0,21.0
0.0,25.0,0.0
12.0,33.0,11.0
12.0,10.0,48.0
66.0,33.0,1.0
66.0,33.0,0.0
13.0,33.0,21.0
13.0,33.0,11.0
20.0,33.0,11.0
13.0,32.0,11.0
15.0,33.0,21.0
15.0,33.0,11.0
26.0,33.0,0.0
10.0,10.0,21.0
13.0,33.0,6.0
13.0,25.0,11.0
20.0,33.0,6.0
13.0,10.0,7.0
0.0,33.0,1.0
20.0,0.0,11.0
20.0,33.0,11.0
12.0,33.0,21.0
12.0,33.0,11.0
20.0,10.0,11.0
20.0,10.0,0.0
13.0,32.0,11.0
20.0,33.0,88.0
20.0,30.0,0.0
20.0,10.0,0.0
13.0,0.0,11.0
0.0,32.0,0.0
13.0,33.0,6.0
13.0,10.0,48.0
20.0,33.0,11.0
20.0,33.0,7.0
20.0,10.0,11.0
0.0,33.0,0.0
13.0,33.0,11.0
20.0,32.0,11.0
13.0,32.0,7.0
20.0,10.0,21.0
20.0,33.0,21.0
20.0,0.0,1.0
20.0,0.0,7.0
13.0,10.0,0.0
13.0,30.0,0.0
15.0,33.0,11.0
12.0,10.0,13.0
12.0,10.0,1.0
12.0,0.0,0.0
20.0,30.0,0.0
15.0,1.0,11.0
20.0,0.0,0.0
10.0,33.0,11.0
